City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
179,nova sintra,14.8667,-24.7167,24.49,76,84,4.07,CV,2024-06-07
180,merrill,45.1805,-89.6835,17.87,65,0,0.0,US,2024-06-07
181,constitucion,-35.3333,-72.4167,14.27,91,100,0.65,CL,2024-06-07
182,aykhal,66.0,111.5,13.67,56,100,5.76,RU,2024-06-07
183,xifeng,42.7372,124.7222,19.09,79,94,6.33,CN,2024-06-07
184,sinabang,2.4803,96.3801,28.55,70,100,1.22,ID,2024-06-07
185,fort drum,44.0584,-75.7619,15.65,88,100,4.63,US,2024-06-07
186,les anglais,18.3054,-74.2197,25.91,78,52,2.94,HT,2024-06-07
187,ola,59.5833,151.2833,5.08,96,100,2.01,RU,2024-06-07
188,verkhnevilyuysk,63.4453,120.3167,23.1,37,80,2.45,RU,2024-06-07
189,tucano,-10.9631,-38.7867,20.55,97,16,1.48,BR,2024-06-07
190,nadi,-17.8,177.4167,30.0,45,75,3.6,FJ,2024-06-07
191,bijar,35.8668,47.6051,12.85,63,0,1.27,IR,2024-06-07
192,lisala,2.15,21.5167,21.07,97,100,0.62,CD,2024-06-07
193,sarmiento,-45.5882,-69.07,8.93,73,100,4.29,AR,2024-06-07
194,galesong,-5.3166,119.3661,29.01,70,28,0.59,ID,2024-06-07
195,lorengau,-2.0226,147.2712,29.13,71,99,1.46,PG,2024-06-07
196,boguchany,58.3814,97.4531,16.03,46,92,4.02,RU,2024-06-07
197,cristalina,-16.7686,-47.6136,16.93,66,50,1.91,BR,2024-06-07
198,hithadhoo,-0.6,73.0833,28.34,74,99,5.06,MV,2024-06-07
199,oyama,36.3,139.8,26.44,45,36,1.88,JP,2024-06-07
200,iquique,-20.2208,-70.1431,17.02,73,41,0.27,CL,2024-06-07
201,chiredzi,-21.05,31.6667,13.24,87,0,2.17,ZW,2024-06-07
202,tazacorte,28.629,-17.9293,20.54,82,0,3.13,ES,2024-06-07
203,nohar,29.1833,74.7667,33.9,22,88,2.74,IN,2024-06-07
204,lompoc,34.6391,-120.4579,21.08,84,100,1.54,US,2024-06-07
205,nellore,14.4333,79.9667,28.16,70,100,0.59,IN,2024-06-07
206,qaqortoq,60.7167,-46.0333,2.31,98,100,0.33,GL,2024-06-07
207,kununurra,-15.7667,128.7333,22.99,33,33,6.17,AU,2024-06-07
208,jiazi,22.8779,116.067,25.06,90,100,4.87,CN,2024-06-07
209,constantia,44.1833,28.65,17.61,68,0,2.37,RO,2024-06-07
210,bannu,32.9854,70.6027,29.63,28,0,1.97,PK,2024-06-07
211,tiksi,71.6872,128.8694,3.36,76,35,3.65,RU,2024-06-07
212,hanceville,34.0607,-86.7675,21.97,68,0,1.48,US,2024-06-07
213,utrik,11.2278,169.8474,28.29,80,100,4.81,MH,2024-06-07
214,porto barra do ivinheima,-22.9667,-53.6667,19.68,59,6,1.7,BR,2024-06-07
215,brookings,44.3114,-96.7984,18.39,74,75,2.57,US,2024-06-07
216,hadibu,12.65,54.0333,28.79,77,56,7.59,YE,2024-06-07
217,cockburn town,21.4612,-71.1419,27.86,82,100,4.44,TC,2024-06-07
218,vavatenina,-17.4667,49.2,15.92,96,7,1.34,MG,2024-06-07
219,santa monica,34.0195,-118.4912,25.13,84,100,4.12,US,2024-06-07
220,saudarkrokur,65.7461,-19.6394,2.05,100,100,9.12,IS,2024-06-07
221,betio village,1.358,172.9211,26.02,75,36,3.38,KI,2024-06-07
222,maxixe,-23.8597,35.3472,21.46,63,42,8.62,MZ,2024-06-07
223,alta,69.9689,23.2717,8.59,87,75,6.17,NO,2024-06-07
224,skoghall,59.3232,13.4655,7.31,93,100,2.06,SE,2024-06-07
225,manthani,18.65,79.6667,31.14,57,70,4.19,IN,2024-06-07
226,mutuali,-14.8706,37.0044,17.05,61,2,0.91,MZ,2024-06-07
227,wladyslawowo,54.7909,18.4009,13.21,87,62,3.98,PL,2024-06-07
228,port macquarie,-31.4333,152.9167,20.5,49,0,2.03,AU,2024-06-07
229,abu dhabi,24.4667,54.3667,32.19,60,0,1.54,AE,2024-06-07
230,eraan,9.0629,117.7016,30.72,65,85,0.68,PH,2024-06-07
231,kyren,51.6828,102.1408,18.86,55,45,0.45,RU,2024-06-07
232,colonel hill,22.7667,-74.2167,27.89,74,100,1.9,BS,2024-06-07
233,broken hill,-31.95,141.4333,12.76,60,81,4.78,AU,2024-06-07
234,komatipoort,-25.4332,31.9548,16.07,61,5,4.84,ZA,2024-06-07
235,tamandare,-8.7597,-35.1047,24.14,91,97,0.75,BR,2024-06-07
236,na wa,17.4897,104.1006,30.02,93,100,2.53,TH,2024-06-07
237,olonets,60.9847,32.9698,8.97,82,4,1.7,RU,2024-06-07
238,st. john's,47.5649,-52.7093,8.97,94,100,1.03,CA,2024-06-07
239,punta arenas,-53.15,-70.9167,3.06,93,75,2.57,CL,2024-06-07
240,san luis de la loma,17.2706,-100.8939,25.99,78,100,2.22,MX,2024-06-07
241,barra de santo antonio,-9.4047,-35.5072,23.6,89,100,2.27,BR,2024-06-07
242,sitangkai,4.6628,119.3928,28.84,73,100,3.21,PH,2024-06-07
243,cookeville,36.1628,-85.5016,19.5,75,0,0.0,US,2024-06-07
244,mirpur sakro,24.5474,67.6277,29.59,76,2,8.53,PK,2024-06-07
245,onega,63.9061,38.1404,7.4,96,100,3.35,RU,2024-06-07
246,aasiaat,68.7098,-52.8699,0.63,88,100,1.77,GL,2024-06-07
247,enewetak,11.3474,162.3373,28.36,81,90,7.49,MH,2024-06-07
248,pandan,14.0453,124.1694,30.97,67,75,1.8,PH,2024-06-07
249,clayton,33.5335,-84.3666,25.2,59,0,3.6,US,2024-06-07
250,abashiri,44.0213,144.2697,26.16,50,40,5.14,JP,2024-06-07
251,shahpura,27.3833,75.9667,32.75,29,1,5.1,IN,2024-06-07
252,talnakh,69.4865,88.3972,-1.55,91,99,4.13,RU,2024-06-07
253,turbat,26.0023,63.044,29.87,54,42,3.14,PK,2024-06-07
254,shakawe,-18.3667,21.85,8.12,42,0,3.04,BW,2024-06-07
255,kristiansund,63.1115,7.732,9.36,78,14,2.57,NO,2024-06-07
256,torquay,50.4638,-3.5143,12.18,85,0,0.45,GB,2024-06-07
257,karsun,54.1994,46.9827,15.93,96,100,2.49,RU,2024-06-07
258,coquimbo,-29.9533,-71.3436,11.85,100,100,1.03,CL,2024-06-07
259,zheleznogorsk-ilimskiy,56.5768,104.1217,15.76,39,82,1.34,RU,2024-06-07
260,guanare,9.0418,-69.7421,23.04,97,100,1.0,VE,2024-06-07
261,kaa-khem,51.6833,94.7333,19.11,53,12,1.34,RU,2024-06-07
262,bunol,39.4167,-0.7833,20.7,53,59,1.83,ES,2024-06-07
263,sangkhla buri,15.1555,98.4536,23.88,95,100,0.19,TH,2024-06-07
264,navrongo,10.8956,-1.0921,27.48,68,100,2.36,GH,2024-06-07
265,atchison,39.563,-95.1216,26.75,66,100,4.2,US,2024-06-07
266,shitanjing,39.2342,106.3439,23.25,20,100,1.58,CN,2024-06-07
267,la'ie,21.6477,-157.9253,30.98,74,20,2.24,US,2024-06-07
268,kuchinda,21.7333,84.35,33.82,42,8,3.14,IN,2024-06-07
269,kill devil hills,36.0307,-75.676,26.01,72,0,0.0,US,2024-06-07
270,cole harbour,44.6724,-63.4751,14.66,95,97,6.17,CA,2024-06-07
271,chegdomyn,51.1167,133.0167,19.34,62,98,2.61,RU,2024-06-07
272,howrah,22.5892,88.3103,31.0,74,40,5.14,IN,2024-06-07
273,qui nhon,13.7667,109.2333,32.06,58,100,1.04,VN,2024-06-07
274,bontang,0.1333,117.5,25.7,89,100,2.23,ID,2024-06-07
275,buala,-8.145,159.5921,29.35,72,70,4.42,SB,2024-06-07
276,alakurtti,66.9672,30.3491,10.33,91,100,1.45,RU,2024-06-07
277,hammerfest,70.6634,23.6821,8.25,93,75,2.57,NO,2024-06-07
278,satkhira,22.7167,89.1,33.28,59,100,5.95,BD,2024-06-07
279,flying fish cove,-10.4217,105.6791,26.82,83,100,5.66,CX,2024-06-07
280,kapa'a,22.0752,-159.319,30.99,75,0,5.66,US,2024-06-07
281,mauganj,24.6833,81.8833,35.89,20,2,6.79,IN,2024-06-07
282,abbeville,50.1,1.8333,10.27,92,3,2.16,FR,2024-06-07
283,atasu,48.6814,71.6433,20.78,64,27,6.16,KZ,2024-06-07
284,mata-utu,-13.2816,-176.1745,28.19,75,91,7.39,WF,2024-06-07
285,port shepstone,-30.7414,30.455,15.34,77,72,6.55,ZA,2024-06-07
286,rundu,-17.9333,19.7667,9.42,39,4,4.1,NA,2024-06-07
287,anaconda,46.1285,-112.9423,24.55,44,9,3.76,US,2024-06-07
288,taroa,8.7058,171.2275,28.65,78,73,5.62,MH,2024-06-07
289,sumbe,-11.2061,13.8437,21.0,87,1,1.21,AO,2024-06-07
290,ebon,4.582,168.6964,28.78,73,76,4.56,MH,2024-06-07
291,mawu,29.5923,107.3139,19.74,87,100,0.28,CN,2024-06-07
292,champua,22.0833,85.6667,33.33,38,0,3.41,IN,2024-06-07
293,isoka,-10.1606,32.6335,12.98,77,6,0.46,ZM,2024-06-07
294,kone,-21.0595,164.8658,28.89,44,3,4.63,NC,2024-06-07
295,cabedelo,-6.9811,-34.8339,24.37,85,100,3.06,BR,2024-06-07
296,pangai,-19.8,-174.35,26.06,65,40,6.69,TO,2024-06-07
297,jaisalmer,26.9147,70.9181,31.29,44,43,7.62,IN,2024-06-07
298,northam,51.0333,-4.2167,13.12,91,100,5.45,GB,2024-06-07
299,marsa alam,25.0757,34.8918,31.64,33,6,3.71,EG,2024-06-07
300,aktau,43.65,51.2,22.32,76,100,6.8,KZ,2024-06-07
301,shenjiamen,29.9576,122.298,21.9,91,95,3.27,CN,2024-06-07
302,mesquite,32.7668,-96.5992,31.7,69,0,3.13,US,2024-06-07
303,olyokminsk,60.3736,120.4264,23.08,27,0,1.24,RU,2024-06-07
304,tocopilla,-22.092,-70.1979,18.06,69,50,2.5,CL,2024-06-07
305,novoishimskiy,53.1981,66.7694,19.45,76,18,1.55,KZ,2024-06-07
306,bani walid,31.7566,13.9942,21.93,41,0,1.98,LY,2024-06-07
307,parabel',58.6978,81.4825,13.28,66,99,2.68,RU,2024-06-07
308,vorgashor,67.5833,63.95,-1.22,93,100,4.0,RU,2024-06-07
309,tchibanga,-2.85,11.0333,19.79,93,99,0.7,GA,2024-06-07
310,bishkul,54.7803,69.1033,17.19,88,0,3.0,KZ,2024-06-07
311,bulayevo,54.9056,70.4439,15.92,81,95,5.33,KZ,2024-06-07
312,yuzhno-kurilsk,44.0306,145.8556,15.76,77,73,5.4,RU,2024-06-07
313,coronel dorrego,-38.7187,-61.2873,15.29,52,100,4.19,AR,2024-06-07
314,ambon,-3.6954,128.1814,27.71,95,40,1.54,ID,2024-06-07
315,egilsstadir,65.2653,-14.3948,1.95,75,100,4.12,IS,2024-06-07
316,sao caetano de odivelas,-0.75,-48.02,23.66,98,100,2.37,BR,2024-06-07
317,codrington,-38.2667,141.9667,13.05,73,100,1.67,AU,2024-06-07
318,chui,-33.6971,-53.4616,14.3,95,99,2.07,UY,2024-06-07
319,shache,38.4167,77.2406,22.02,31,100,0.81,CN,2024-06-07
320,toliara,-23.35,43.6667,21.21,83,0,0.53,MG,2024-06-07
321,el hamma,33.8915,9.7963,28.51,28,1,2.29,TN,2024-06-07
322,papar,5.7333,115.9333,31.0,79,100,1.46,MY,2024-06-07
323,mildura,-34.2,142.15,14.14,62,99,5.34,AU,2024-06-07
324,dogonbadan,30.3586,50.7981,24.05,33,0,1.03,IR,2024-06-07
325,marang,5.2056,103.2059,31.95,80,100,1.11,MY,2024-06-07
326,shushi,39.7589,46.7492,13.75,84,58,0.91,AZ,2024-06-07
327,tralee,52.2704,-9.7026,11.73,86,100,4.4,IE,2024-06-07
328,ghat,24.9647,10.1728,29.56,21,0,2.0,LY,2024-06-07
329,hirara,24.8,125.2833,28.92,94,75,7.2,JP,2024-06-07
330,guanica,17.9716,-66.908,28.88,85,64,3.81,PR,2024-06-07
331,north bend,43.4065,-124.2243,23.47,72,0,7.2,US,2024-06-07
332,prado,-17.3411,-39.2208,22.2,89,9,2.03,BR,2024-06-07
333,fairmont,39.4851,-80.1426,20.65,77,0,1.99,US,2024-06-07
334,puerto deseado,-47.7503,-65.8938,7.26,83,30,4.47,AR,2024-06-07
