City_ID,City,Country,Lat,Lng,Humidity,Hotel Name
539,belmonte,BR,-15.8631,-38.8828,77,No hotel found
540,khash,IR,28.2211,61.2158,29,No hotel found
545,lubango,AO,-14.9172,13.4925,45,Novo Hotel
546,nadi,FJ,-17.8,177.4167,73,President Hotel
547,lazaro cardenas,MX,17.9583,-102.2,58,Hotel Sol del Pacífico
548,cabedelo,BR,-6.9811,-34.8339,79,No hotel found
550,tafuna,AS,-14.3358,-170.72,71,Tradewinds
554,nzerekore,GN,7.7562,-8.8179,94,Mission Catolique
557,kirtipur,NP,27.6667,85.2833,78,Bhajangal girls hostel
558,sharqpur sharif,PK,31.4633,74.1,20,No hotel found
563,lospalos,TL,-8.5186,127.0025,93,Hotel Roberto Carlos
566,akkarampalle,IN,13.65,79.42,69,Hotel Orion
567,columbus,US,39.9612,-82.9988,46,Sheraton Columbus Hotel at Capitol Square
568,recani,MA,31.2846,-4.2688,6,Hotel Merzouga
570,soio,AO,-6.1349,12.3689,83,Hotel Maria Teres
571,jiuquan,CN,39.7432,98.5174,19,民族宾馆
573,tartouss,SY,34.889,35.8866,77,فندق انترادوس
574,sungai penuh,ID,-2.0833,101.3833,97,Hotel Matahari
